pdfLink,parentTopic,year,level,introduction,learningOutcome,summary,categories,topicName,url
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level1a/RR_2024_L1V4R16_credit_analysis_corporate_issuers.pdf,Fixed Income,2024,Level I,Introduction section is missing.,Learning Outcomes section is missing.,Summary section is missing.,"['Debt Analysis', 'Fixed Income Investments', 'Bonds', 'Equity Investments', 'Economics', 'Return Analysis & Performance Measurement']",Credit Analysis for Corporate Issuers,https://www.cfainstitute.org/membership/professional-development/refresher-readings/Credit-Analysis-for-Corporate-Issuers
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level1a/RR_2024_L1V2R3_organizational_forms_corporate_issuers_features.pdf,Corporate Finance,2024,Level I,Introduction section is missing.,Learning Outcomes section is missing.,Summary section is missing.,"['Equity Investments', 'Shareholders & Bondholders', 'Firm Management', 'Hedge Funds', 'Capital Structure', 'Financial Regulation']","Organizational Forms, Corporate Issuer Features, and Ownership",https://www.cfainstitute.org/membership/professional-development/refresher-readings/Organizational-Forms-Corporate-Issuer-Features-and-Ownership
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level1a/RR_2024_L1V5R14_real_estate_infrastructure.pdf,Alternative Investments,2024,Level I,Introduction section is missing.,Learning Outcomes section is missing.,Summary section is missing.,"['Economic Policies & Systems', 'Real Estate', 'Locations', 'Equity Investments', 'Investment Products & Asset Classes', 'Oxford', 'Cambridge', 'Oxford', 'Asset-Backed Securities', 'Ethics & Integrity', 'Economics']",Real Estate & Infrastructure,https://www.cfainstitute.org/membership/professional-development/refresher-readings/Real-Estate-and-Infrastructure
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level1a/RR_2024_L1V4R1_fixed_income_instrument_features.pdf,Fixed Income,2024,Level I,Introduction section is missing.,Learning Outcomes section is missing.,Summary section is missing.,"['Fixed Income Investments', 'Shareholders & Bondholders', 'Bonds', 'Asset-Backed Securities', 'Economic Conditions', 'Options', 'Financial Regulation', 'Equity Investments']",Fixed-Income Instrument Features,https://www.cfainstitute.org/membership/professional-development/refresher-readings/Fixed-Income-Instrument-Features
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level1a/RR_2024_L1V5R17_intro_digital_assets.pdf,Alternative Investments,2024,Level I,Introduction section is missing.,Learning Outcomes section is missing.,Summary section is missing.,"['Fintech', 'Professional Networking', 'Investment Products & Asset Classes', 'Fraud & Scandals', 'Financial Markets']",Introduction to Digital Assets,https://www.cfainstitute.org/membership/professional-development/refresher-readings/Introduction-to-Digital-Assets
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level1a/RR_2024_L1V4R19_mortgage_backed_security_instrument_market_features.pdf,Fixed Income,2024,Level I,Introduction section is missing.,Learning Outcomes section is missing.,Summary section is missing.,"['Asset-Backed Securities', 'Real Estate', 'Bonds']",Mortgage-Backed Security (MBS) Instrument and Market Features,https://www.cfainstitute.org/membership/professional-development/refresher-readings/Mortgage-Backed-Security-MBS-Instrument-and-Market-Features
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level1a/RR_2024_L1V4R3_fixed_income_issuance_trading.pdf,Fixed Income,2024,Level I,Introduction section is missing.,Learning Outcomes section is missing.,Summary section is missing.,"['Fixed Income Investments', 'Bonds', 'Financial Markets', 'Equity Investments', 'Recruitment & Talent Development']",Fixed-Income Issuance and Trading,https://www.cfainstitute.org/membership/professional-development/refresher-readings/Fixed-Income-Issuance-and-Trading
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level1a/RR_2024_L1V3R10_industry_competitive_analysis.pdf,Equity Investments,2024,Level I,Introduction section is missing.,Learning Outcomes section is missing.,Summary section is missing.,"['Locations', 'Fundamental Analysis', 'Leadership', 'Leadership Skills', 'Economic Conditions', 'London', 'London', 'Economics', 'Equity Investments']",Industry and Competitive Analysis,https://www.cfainstitute.org/membership/professional-development/refresher-readings/Industry-and-Competitive-Analysis
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level1a/RR_2024_L1V3R11_company_analysis_forecasting.pdf,Equity Investments,2024,Level I,Introduction section is missing.,Learning Outcomes section is missing.,Summary section is missing.,"['Capital Investments', 'Valuation', 'Financial Reporting & Accounting', 'Economic Conditions', 'Capital Structure']",Company Analysis: Forecasting,https://www.cfainstitute.org/membership/professional-development/refresher-readings/Company-Analysis-Forecasting
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level1a/RR_2024_L1V5R15_natural_resources.pdf,Alternative Investments,2024,Level I,Introduction section is missing.,Learning Outcomes section is missing.,Summary section is missing.,"['Commodities', 'Locations', 'Futures & Forwards', 'Economic Conditions', 'Investment Products & Asset Classes', 'Real Estate', 'Financial Markets', 'Portland', 'Douglas', 'Douglas', 'ESG & SRI Investing']",Natural Resources,https://www.cfainstitute.org/membership/professional-development/refresher-readings/Natural-Resources
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level2/level2a/RR_2024_L2V1R4_multiple_regression_extensions.pdf,Quantitative Methods,2024,Level II,Introduction section is missing.,The member should be able to: describe influence analysis and methods of detecting influential data points formulate and interpret a multiple regression model that includes qualitative independent variables formulate and interpret a logistic regression model,"Two kinds of observations may potentially influence regression results: (1) a high-leverage point, an observation with an extreme value of an independent variable, and (2) an outlier, an observation with an extreme value of the dependent variable. A measure for identifying a high-leverage point is leverage. If leverage is greater than 3 ( k + 1 _ n ) , where k is the number of independent variables, then the observation is potentially influential. A measure for identifying an outlier is studentized residuals. If the studentized residual is greater than the critical value of the t-statistic with n – k – 2 degrees of freedom, then the observation is potentially influential. Cook’s distance, or Cook’s D (Di), is a metric for identifying influential data points. It measures how much the estimated values of the regression change if observation i is deleted. If D i > 2 √ _ k / n , then it is highly likely to be influential. An influence plot visually presents leverage, studentized residuals, and Cook’s D for each observation. Dummy, or indicator, variables represent qualitative independent variables and take a value of 1 (for true) or 0 (for false) to indicate whether a specific condition applies, such as whether a company belongs to a certain industry sector. To capture n possible categories, the model must include n – 1 dummy variables. An intercept dummy adds to or reduces the original intercept if a specific condition is met. When the intercept dummy is 1, the regression line shifts up or down parallel to the base regression line. A slope dummy allows for a changing slope if a specific condition is met. When the slope dummy is 1, the slope changes to (dj + bj) × Xj, where dj is the coefficient on the dummy variable and bj is the slope of Xj in the original regression line. A logistic regression model is one with a qualitative (i.e., categorical) dependent variable, so logistic regression is often used in binary classification problems, which are common in machine learning and neural networks. To estimate a logistic regression, the logistic transformation of the event probability (P) into the log odds, ln[P/(1 − P)], is applied, which linearizes the relation between the transformed dependent variable and the independent variables. Logistic regression coefficients are typically estimated using the maximum likelihood estimation (MLE) method, and slope coefficients are interpreted as the change in the log odds that the event happens per unit change in the independent variable, holding all other independent variables constant.
Related Members' Guide to 2023 Refresher Readings (PDF) 1.25 PL Record PL credit Manage your Professional Learning credits Categories Quantitative Methods",['Quantitative Methods'],Extensions of Multiple Regression,https://www.cfainstitute.org/membership/professional-development/refresher-readings/extensions-multiple-regression
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level1a/RR_2024_L1V2R5_corporate_governance_conflicts_risks.pdf,Corporate Finance,2024,Level I,Introduction section is missing.,Learning Outcomes section is missing.,Summary section is missing.,"['Shareholders & Bondholders', 'Corporate Governance', 'Equity Investments', 'Financial Regulation', 'Ethics & Integrity', 'Financial Reporting & Accounting', 'Return Analysis & Performance Measurement']","Corporate Governance: Conflicts, Mechanisms, Risks, and Benefits",https://www.cfainstitute.org/membership/professional-development/refresher-readings/Corporate-Governance-Conflicts-Mechanisms-Risks-and-Benefits
https://cfainstitute.org/-/media/documents/protected/refresher-reading/2024/level1a/RR_2024_L1V3R9_company_analysis_past_present.pdf,Equity Investments,2024,Level I,Introduction section is missing.,Learning Outcomes section is missing.,Summary section is missing.,"['Financial Reporting & Accounting', 'Capital Investments', 'Capital Structure', 'Return Analysis & Performance Measurement', 'Fundamental Analysis', 'Equity Investments']",Company Analysis: Past and Present,https://www.cfainstitute.org/membership/professional-development/refresher-readings/Company-Analysis-Past-and-Present
